Artist: Song,URL,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
T-Rex: Bang a Gong,https://www.youtube.com/watch?v=TVEhDrJzM8E,7.0,6.0,2.0,8.0,7.0,3.0,2.0,6.0,5.0,6.0,3.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,3.0,6.0,3.0,7.0,3.0,5.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,1.0,1.0
Kate Bush: Running Up that Hill,https://www.youtube.com/watch?v=HYwNM1t9ltI,4.0,9.0,5.0,9.0,3.0,2.0,9.0,4.0,9.0,7.0,8.0,3.0,8.0,7.0,5.0,4.0,7.0,9.0,10.0,5.0,6.0,2.0,8.0,5.0,7.0,4.0,7.0,6.0,5.0,7.0,3.0,9.0,7.0
Bruce Springsteen: I'm Goin' Down,https://www.youtube.com/watch?v=FDePd-mHOL4,9.0,8.0,6.0,3.0,6.0,4.0,8.0,6.0,4.0,7.0,6.0,6.0,9.0,8.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,3.0,9.0,8.0,4.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0
The Beach Boys: Sloop John B,https://www.youtube.com/watch?v=tLoS8bGr0uo,8.0,7.0,5.0,7.0,6.0,5.0,7.0,4.0,7.0,5.0,9.0,9.0,4.0,10.0,6.0,7.0,5.0,9.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,7.0,6.0,4.0,4.0,2.0,2.0,3.0
Bob Dylan and Johnny Cash: Girl from the North Country,https://www.youtube.com/watch?v=Je4Eg77YSSA,9.0,7.0,8.0,9.0,10.0,6.0,8.0,8.0,5.0,5.0,6.0,7.0,5.0,7.0,9.0,6.0,6.0,7.0,3.0,6.0,3.0,8.0,4.0,6.0,7.0,4.0,8.0,5.0,5.0,6.0,8.0,3.0,3.0
Kanye West: Runaway,https://www.youtube.com/watch?v=2D-JwgfxslM,5.0,7.0,6.0,7.0,8.0,1.0,4.0,5.0,6.0,4.0,8.0,4.0,6.0,2.0,8.0,1.0,6.0,6.0,6.0,5.0,7.0,6.0,1.0,2.0,8.0,8.0,2.0,8.0,10.0,9.0,3.0,8.0,1.0
The Beatles: Let It Be,https://www.youtube.com/watch?v=QDYfEBY9NM4,9.0,6.0,6.0,10.0,8.0,3.0,9.0,4.0,6.0,10.0,10.0,9.0,3.0,8.0,8.0,3.0,8.0,10.0,5.0,6.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,1.0,5.0
Fazerdaze: Cherry Pie,https://www.youtube.com/watch?v=C2JlV5mEBVQ,2.0,8.0,4.0,9.0,3.0,2.0,4.0,3.0,6.0,6.0,8.0,3.0,6.0,10.0,7.0,3.0,6.0,4.0,6.0,7.0,6.0,3.0,10.0,6.0,3.0,6.0,5.0,8.0,4.0,6.0,4.0,5.0,2.0
Madonna: Like a Prayer,https://www.youtube.com/watch?v=b_rIk8yKDGI,5.0,8.0,8.0,7.0,5.0,1.0,8.0,4.0,1.0,9.0,10.0,10.0,8.0,2.0,9.0,4.0,5.0,10.0,9.0,6.0,6.0,6.0,9.0,4.0,6.0,2.0,6.0,7.0,7.0,9.0,7.0,10.0,6.0
The Ronettes: Be My Little Baby,https://www.youtube.com/watch?v=jSPpbOGnFgk,5.0,7.0,7.0,5.0,7.0,2.0,6.0,6.0,4.0,8.0,9.0,6.0,6.0,4.0,8.0,7.0,5.0,8.0,4.0,5.0,4.0,8.0,9.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,5.0,1.0,5.0
